# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Full Version
# File: C:\Work\SOLO2\plis1_fw\solo.csv
# Generated on: Fri Dec 17 12:34:17 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
a12mhz,Input,PIN_22,1,B1_N1,,
acdata[12],Input,PIN_74,3,B3_N1,,
acdata[11],Input,PIN_101,3,B3_N0,,
acdata[10],Input,PIN_100,3,B3_N0,,
acdata[9],Input,PIN_99,3,B3_N0,,
acdata[8],Input,PIN_97,3,B3_N0,,
acdata[7],Input,PIN_96,3,B3_N0,,
acdata[6],Input,PIN_94,3,B3_N0,,
acdata[5],Input,PIN_93,3,B3_N0,,
acdata[4],Input,PIN_92,3,B3_N0,,
acdata[3],Input,PIN_86,3,B3_N1,,
acdata[2],Input,PIN_81,3,B3_N1,,
acdata[1],Input,PIN_80,3,B3_N1,,
acdata[0],Input,PIN_79,3,B3_N1,,
adresbus[5],Input,PIN_48,4,B4_N1,,
adresbus[4],Input,PIN_47,4,B4_N1,,
adresbus[3],Input,PIN_45,4,B4_N1,,
adresbus[2],Input,PIN_44,4,B4_N1,,
adresbus[1],Input,PIN_43,4,B4_N1,,
adresbus[0],Input,PIN_42,4,B4_N1,,
adresmem[18],Output,PIN_41,4,B4_N1,,
adresmem[17],Output,PIN_32,1,B1_N1,,
adresmem[16],Output,PIN_31,1,B1_N1,,
adresmem[15],Output,PIN_30,1,B1_N1,,
adresmem[14],Output,PIN_4,1,B1_N0,,
adresmem[13],Output,PIN_3,1,B1_N0,,
adresmem[12],Output,PIN_1,1,B1_N0,,
adresmem[11],Output,PIN_7,1,B1_N0,,
adresmem[10],Output,PIN_8,1,B1_N0,,
adresmem[9],Output,PIN_112,2,B2_N0,,
adresmem[8],Output,PIN_113,2,B2_N0,,
adresmem[7],Output,PIN_114,2,B2_N0,,
adresmem[6],Output,PIN_115,2,B2_N0,,
adresmem[5],Output,PIN_118,2,B2_N0,,
adresmem[4],Output,PIN_129,2,B2_N1,,
adresmem[3],Output,PIN_132,2,B2_N1,,
adresmem[2],Output,PIN_133,2,B2_N1,,
adresmem[1],Output,PIN_134,2,B2_N1,,
adresmem[0],Output,PIN_135,2,B2_N1,,
bls0we,Input,PIN_53,4,B4_N1,,
cs,Input,PIN_51,4,B4_N1,,
dacclock,Output,PIN_143,2,B2_N1,,
databus[7],Bidir,PIN_55,4,B4_N1,,
databus[6],Bidir,PIN_57,4,B4_N1,,
databus[5],Bidir,PIN_58,4,B4_N1,,
databus[4],Bidir,PIN_59,4,B4_N0,,
databus[3],Bidir,PIN_60,4,B4_N0,,
databus[2],Bidir,PIN_63,4,B4_N0,,
databus[1],Bidir,PIN_64,4,B4_N0,,
databus[0],Bidir,PIN_65,4,B4_N0,,
datamem[7],Bidir,PIN_27,1,B1_N1,,
datamem[6],Bidir,PIN_26,1,B1_N1,,
datamem[5],Bidir,PIN_25,1,B1_N1,,
datamem[4],Bidir,PIN_9,1,B1_N0,,
datamem[3],Bidir,PIN_121,2,B2_N0,,
datamem[2],Bidir,PIN_122,2,B2_N0,,
datamem[1],Bidir,PIN_125,2,B2_N0,,
datamem[0],Bidir,PIN_126,2,B2_N0,,
foto,Input,PIN_75,3,B3_N1,,
mclock,Output,PIN_104,3,B3_N0,,
mdata,Output,PIN_141,2,B2_N1,,
mfield,Output,PIN_144,2,B2_N1,,
mfsync,Output,PIN_139,2,B2_N1,,
mlsync,Output,PIN_137,2,B2_N1,,
mreset,Output,PIN_136,2,B2_N1,,
oe,Input,PIN_52,4,B4_N1,,
